uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"ee96f73f-a7fa-4e1c-8fc8-72cd09d0f1a3","BONA_072.basePlot.vst","2016-06-13","D19","BONA","BONA_072","tower","deciduousForest",65.157144,-147.502131,"WGS84",20.3,476460.57,7226061.76,"6N",261.0,0.3,"vst_BONA_2016",,,"NEON.DOC.000987vD",,,,,,,,"25","noneSelected",800,100,800,,,"kjorgenson@field-ops.org","legacyData"
"d9b96040-7818-4a22-ae72-015b591c0982","BONA_070.basePlot.vst","2016-06-14","D19","BONA","BONA_070","tower","evergreenForest",65.153632,-147.509712,"WGS84",20.1,476102.02,7225673.20,"6N",237.7,0.1,"vst_BONA_2016",,,"NEON.DOC.000987vD",,,,,,,,"25","noneSelected",800,100,800,,,"rpernick@field-ops.org","legacyData"
"21adbd05-588e-488d-9bce-8d068741ca2b","BONA_079.basePlot.vst","2016-06-15","D19","BONA","BONA_079","tower","deciduousForest",65.158470,-147.504710,"WGS84",20.2,476340.85,7226210.50,"6N",286.1,0.2,"vst_BONA_2016",,,"NEON.DOC.000987vD",,,,,,,,"100","noneSelected",800,400,800,,,"mgrandfield@field-ops.org","legacyData"
"baa5532f-0840-4553-b134-05de8f7078e9","BONA_071.basePlot.vst","2016-06-16","D19","BONA","BONA_071","tower","evergreenForest",65.154979,-147.507196,"WGS84",20.1,476221.19,7225822.37,"6N",246.1,0.1,"vst_BONA_2016",,,"NEON.DOC.000987vD",,,,,,,,"10","noneSelected",800,40,800,,,"mgrandfield@field-ops.org","legacyData"
"b7ec0d17-55f9-403f-a9db-3d0f944f8550","BONA_075.basePlot.vst","2016-06-16","D19","BONA","BONA_075","tower","deciduousForest",65.158209,-147.507859,"WGS84",20.1,476193.00,7226182.60,"6N",299.6,0.2,"vst_BONA_2016",,,"NEON.DOC.000987vD",,,,,,,,"10","noneSelected",800,40,800,,,"mgrandfield@field-ops.org","legacyData"
"93ae9b66-5d7d-4fbe-a62d-c241b8e0e639","BONA_078.basePlot.vst","2016-06-20","D19","BONA","BONA_078","tower","mixedForest",65.156592,-147.507861,"WGS84",20.2,476191.46,7226002.39,"6N",272.6,0.3,"vst_BONA_2016",,,"NEON.DOC.000987vD",,,,,,,,"25","noneSelected",800,100,800,,,"mgrandfield@field-ops.org","legacyData"
"916442b6-2fca-4dcf-96af-69ec358c6f41","BONA_076.basePlot.vst","2016-06-21","D19","BONA","BONA_076","tower","evergreenForest",65.155812,-147.502084,"WGS84",20.2,476461.59,7225913.29,"6N",245.4,0.3,"vst_BONA_2016",,,"NEON.DOC.000987vD",,,,,,,,"10","noneSelected",800,40,800,,,"kjorgenson@field-ops.org","legacyData"
"6dd997a6-b9b6-48be-949e-dfcaa06b0f3d","BONA_082.basePlot.vst","2016-06-22","D19","BONA","BONA_082","tower","deciduousForest",65.156573,-147.512298,"WGS84",20.2,475983.44,7226001.95,"6N",289.6,0.4,"vst_BONA_2016",,,"NEON.DOC.000987vD",,,,,,,,"10","noneSelected",800,40,800,,,"kjorgenson@field-ops.org","legacyData"
"6b468e5e-db12-40ea-b51c-ee84338aa3ba","BONA_084.basePlot.vst","2016-06-23","D19","BONA","BONA_084","tower","deciduousForest",65.155247,-147.512957,"WGS84",20.2,475951.35,7225854.42,"6N",263.5,0.2,"vst_BONA_2016",,,"NEON.DOC.000987vD",,,,,,,,"10","noneSelected",800,40,800,,,"ebuckner@field-ops.org","legacyData"
"bc891712-0ae9-4b7f-8d8c-c8b8e929aea4","BONA_087.basePlot.vst","2016-06-23","D19","BONA","BONA_087","tower","deciduousForest",65.158493,-147.502127,"WGS84",20.1,476461.95,7226212.10,"6N",271.9,0.1,"vst_BONA_2016",,,"NEON.DOC.000987vD",,,,,,,,"25","noneSelected",800,100,800,,,"kjorgenson@field-ops.org","legacyData"
"ac3a3746-8d79-4858-a4d3-78cc2680d0fd","BONA_080.basePlot.vst","2016-06-24","D19","BONA","BONA_080","tower","evergreenForest",65.153889,-147.512286,"WGS84",20.1,475981.58,7225702.82,"6N",241.8,0.1,"vst_BONA_2016",,,"NEON.DOC.000987vD",,,,,,,,"25","noneSelected",800,100,800,"QC0",,"kschroder@neoninc.org","legacyData"
